所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(#0),,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
/注册,验证首次登录商城页面，网站头部显示登录注册两个连接，可以点击跳转,"1. 输入192.168.124.3:80
2.点击注册按钮 
3.点击登录按钮","1. 进入商城首页
2. 跳转到注册界面
3.跳转到登录界面",,功能测试,2,正常,系统测试阶段,首次进入商城页面为游客状态,,,,
/注册,验证输入正确的手机号，验证码，密码，推荐人手机号，勾选同意协议，注册成功,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册成功
2.跳转至首页",,功能测试,2,正常,系统测试阶段,在注册界面,,,,
/注册,验证输入正确的手机号，验证码，密码，勾选同意协议，注册成功,"1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：123456900987654
5.确认密码：123456
5.勾选协议
6.点击注册","1.注册成功
2.跳转至首页",,功能测试,2,正常,系统测试阶段,在注册界面,,,,
/注册,验证输入正确的邮箱，验证码，密码，推荐人手机号，勾选同意协议，注册成功,"1. 点击注册按钮
2. 邮箱：1234@qq.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册成功
2.跳转至首页",,功能测试,2,正常,系统测试阶段,在注册界面,,,,
/注册,验证输入正确的邮箱，验证码，密码，勾选同意协议，注册成功,"1. 点击注册按钮
2. 邮箱：1234567890098765@126.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册成功
2.跳转至首页
",,功能测试,2,正常,系统测试阶段,在注册界面,,,,
/注册,验证输入正确的邮箱，验证码，密码，勾选同意协议，注册成功,"1. 点击注册按钮
2. 邮箱：12345
67890098765@sina.com
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.勾选协议
6.点击注册","1.注册成功
2.跳转至首页",,功能测试,2,正常,系统测试阶段,在注册界面,,,,
/注册,验证点击注册按钮，默认为手机号注册,"1.点击注册按钮
",1.跳转到注册界面   2.默认为手机号注册,,功能测试,2,正常,系统测试阶段,注册功能正常,,,,
/注册,验证不勾选同意协议，注册失败,"1.点击注册按钮
",1.注册失败,,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.不勾选同意协议",,,,
/注册,"验证
输入重复的手机号，注册失败","1. 点击注册按钮
2. 输入手机号：13312345678
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示账号已存在
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
/注册,验证不输入手机号，注册失败,"1. 点击注册按钮
2. 输入手机号：
3.图像验证码：8888
4.设置密码：123456
5.确认密码：123456
5.推荐人手机号：17712345678
6.勾选协议
7.点击注册","1.注册失败
2.提示请用手机号或邮箱注册
3.点击同意协议并注册后刷新验证码图片",,功能测试,2,正常,系统测试阶段,"1.在注册界面
2.推荐人手机号已注册过",,,,
